,date,hour,day_month,P,Qse,Qgw,model_m3hr,model_mhr,storageRatio,areaRatio,observ_mh
1292,2017-05-24,19:00:00,24-May,0.0,0.0,1094.0423342885226,1094.0423342885226,0.00012575921998833527,0.9460846566008151,0.2444116833437244,0.00010764
1293,2017-05-24,20:00:00,24-May,0.0,0.0,1093.9453946395718,1093.9453946395718,0.0001257480768595404,0.9459449364994506,0.24213781095805464,0.00013248
1294,2017-05-24,21:00:00,24-May,0.0,0.0,1093.848457853708,1093.848457853708,0.00012573693405985492,0.9458052287789744,0.24011677873589216,0.00019332
1295,2017-05-24,22:00:00,24-May,0.0,0.0,1093.7515239310155,1093.7515239310155,0.00012572579158928854,0.9456655334390213,0.23945415357946187,0.00021096
1296,2017-05-24,23:00:00,24-May,0.0,0.0,1093.654592871579,1093.654592871579,0.00012571464944785094,0.9455258504792251,0.23878249771235224,0.00018864
1297,2017-05-25,00:00:00,25-May,0.0,0.0,1093.5576646754832,1093.5576646754832,0.00012570350763555185,0.9453861798992204,0.23808580805650204,0.00016740000000000003
1298,2017-05-25,01:00:00,25-May,0.0,0.0,1093.4607393428125,1093.4607393428125,0.000125692366152401,0.9452465216986414,0.23743976771939643,0.00015588
1299,2017-05-25,02:00:00,25-May,0.0,0.0,1093.3638168736516,1093.3638168736516,0.00012568122499840813,0.9451068758771225,0.236874608375763,0.000144
1300,2017-05-25,03:00:00,25-May,0.0,0.0,1093.2668972680851,1093.2668972680851,0.000125670084173583,0.9449672424342979,0.23590815472040494,0.00013248
1301,2017-05-25,04:00:00,25-May,0.0,0.0,1093.1699805261978,1093.1699805261978,0.00012565894367793526,0.9448276213698016,0.23456190691045622,0.00013572
1302,2017-05-25,05:00:00,25-May,0.0,0.0,1093.073066648074,1093.073066648074,0.0001256478035114747,0.9446880126832682,0.2325226860007195,0.00023435999999999997
1303,2017-05-25,06:00:00,25-May,0.0,0.0,1092.9761556337985,1092.9761556337985,0.00012563666367421098,0.9445484163743317,0.23011430178388403,0.0003671999999999999
1304,2017-05-25,07:00:00,25-May,0.0,0.0,1092.879247483456,1092.879247483456,0.00012562552416615393,0.9444088324426264,0.2287997975017134,0.0003456
1305,2017-05-25,08:00:00,25-May,0.0,0.0,1092.7823421971311,1092.7823421971311,0.00012561438498731318,0.9442692608877865,0.2277579374919492,0.00029412
1306,2017-05-25,09:00:00,25-May,0.0,0.0,1092.6854397749084,1092.6854397749084,0.00012560324613769853,0.9441297017094461,0.2267469627006411,0.00033371999999999997
1307,2017-05-25,10:00:00,25-May,0.0,0.0,1092.5885402168726,1092.5885402168726,0.00012559210761731968,0.9439901549072395,0.22577692952145276,0.0006336
1308,2017-05-25,11:00:00,25-May,0.0,0.0,1092.4916435231085,1092.4916435231085,0.00012558096942618638,0.9438506204808007,0.22508364091446018,0.0005903999999999999
1309,2017-05-25,12:00:00,25-May,0.0,0.0,1092.3947496937003,1092.3947496937003,0.00012556983156430834,0.9437110984297641,0.22435691201078747,0.00045
1310,2017-05-25,13:00:00,25-May,0.0,0.0,1092.2978587287332,1092.2978587287332,0.0001255586940316953,0.9435715887537638,0.22355247582752866,0.00036359999999999995
1311,2017-05-25,14:00:00,25-May,0.0,0.0,1092.200970628292,1092.200970628292,0.00012554755682835702,0.9434320914524338,0.22280802425400123,0.00029412
1312,2017-05-25,15:00:00,25-May,0.0,0.0,1092.1040853924608,1092.1040853924608,0.0001255364199543032,0.9432926065254083,0.2221269261127369,0.0002484
1313,2017-05-25,16:00:00,25-May,0.0,0.0,1092.0072030213246,1092.0072030213246,0.0001255252834095436,0.9431531339723214,0.22013326134452707,0.00021564
1314,2017-05-25,17:00:00,25-May,0.0,0.0,1091.9103235149682,1091.9103235149682,0.00012551414719408796,0.9430136737928072,0.2175234171146262,0.00018396
1315,2017-05-25,18:00:00,25-May,0.6000000238418579,1135.4070254302342,1091.8134468734763,2227.2204723037103,0.00025601706676288416,0.9433958770624854,0.22263119114230343,0.00016740000000000003
1316,2017-05-25,19:00:00,25-May,0.0,0.0,1092.0789324298635,1092.0789324298635,0.00012553352864300976,0.9432563953480281,0.22195010868785406,0.00015228
1317,2017-05-25,20:00:00,25-May,0.675000011920929,1303.3271281253255,1091.9820508024761,2395.3091789278014,0.00027533871819389636,0.943700463436204,0.22429558885476153,0.000144
1318,2017-05-25,21:00:00,25-May,1.25,2439.0743440524975,1092.2904730318426,3531.36481708434,0.00040592733112067823,0.9446383219412159,0.23166539686611867,0.00013572
1319,2017-05-25,22:00:00,25-May,0.05000000074505806,100.76865750340995,1092.9416608375134,1193.7103183409233,0.00013721596854312585,0.944541415294364,0.22999351570706278,0.00012888
1320,2017-05-25,23:00:00,25-May,0.675000011920929,1350.5593220299104,1092.874387163191,2443.433709193101,0.00028087059132054734,0.9449793368568437,0.23602477100551644,0.00012528
1321,2017-05-26,00:00:00,26-May,0.0,0.0,1093.1783752462825,1093.1783752462825,0.00012565990864374762,0.9448397147201633,0.23467851285740332,0.00012167999999999999
1322,2017-05-26,01:00:00,26-May,0.0,0.0,1093.081461120099,1093.081461120099,0.0001256487684487728,0.9447001049614773,0.23273130793496852,0.00011844000000000001
1323,2017-05-26,02:00:00,26-May,0.0,0.0,1092.9845498577565,1092.9845498577565,0.00012563762858299404,0.9445605075804199,0.23032290522137486,0.00011448
1324,2017-05-26,03:00:00,26-May,0.02500000037252903,50.09235359576798,1092.8876414593396,1142.9799950551076,0.00013138456176275737,0.9444423024962433,0.22904964146474782,0.00011448
1325,2017-05-26,04:00:00,26-May,0.20000000298023224,398.5234771229772,1092.805579098196,1491.3290562211732,0.00017142698502456153,0.9444740502780067,0.22928662918230924,0.00011124
1326,2017-05-26,05:00:00,26-May,0.0,0.0,1092.8276199913425,1092.8276199913425,0.00012561958963059285,0.9443344729402297,0.228244726004645,0.00010764
1327,2017-05-26,06:00:00,26-May,0.0,0.0,1092.7307162308825,1092.7307162308825,0.00012560845062714897,0.9441949079791233,0.22721869074451778,0.00010764
1328,2017-05-26,07:00:00,26-May,0.0,0.0,1092.6338153345698,1092.6338153345698,0.00012559731195293635,0.9440553553943215,0.22620911193909962,0.00010764
1329,2017-05-26,08:00:00,26-May,0.10000000149011612,196.79061986382843,1092.536917302489,1289.3275371663174,0.00014820708513895253,0.9440017919520799,0.2258347491636216,0.00010439999999999999
1330,2017-05-26,09:00:00,26-May,1.7750000953674316,3487.252872982911,1092.4997241219362,4579.752597104847,0.0005264385995867402,0.9453890824869822,0.23810028643032122,0.00010439999999999999
1331,2017-05-26,10:00:00,26-May,1.6750000715255735,3469.5171631707135,1093.4627536712712,4562.979916841985,0.0005245105944987626,0.9466674041121579,0.24971400541630234,0.00010116
1332,2017-05-26,11:00:00,26-May,0.8750000596046448,1900.838745838587,1094.3496388732844,2995.1883847118715,0.00034429431400791676,0.9472570771468558,0.25531029915392217,9.828e-05
1333,2017-05-26,12:00:00,26-May,1.8500000238418581,4108.983155810142,1094.7585859447265,5203.741741754869,0.0005981656120184918,0.9486480042551387,0.26834752520312927,9.504000000000001e-05
1334,2017-05-26,13:00:00,26-May,2.5,5836.223238761558,1095.722811528276,6931.946050289834,0.0007968212024012683,0.9505404251253944,0.3206887163916205,9.216e-05
1335,2017-05-26,14:00:00,26-May,1.75,4882.205104435579,1097.0337775642993,5979.238881999879,0.0006873083374906464,0.9517211936233285,0.33473768394436304,8.604000000000001e-05
1336,2017-05-26,15:00:00,26-May,0.3999999761581421,1164.8201231609007,1097.8512207330168,2262.6713438939178,0.0002600921137874496,0.9518766467877752,0.3359964392660499,8.352e-05
1337,2017-05-26,16:00:00,26-May,0.20000000298023224,584.600213390222,1097.958810354447,1682.559023744669,0.00019340870437894927,0.9518839704369225,0.3360491697084117,8.352e-05
1338,2017-05-26,17:00:00,26-May,0.15000000596046448,438.51898020692715,1097.9638789015696,1536.4828591084968,0.00017661737560877025,0.9518543955657925,0.3358362299558237,8.352e-05
1339,2017-05-26,18:00:00,26-May,0.15000000596046448,438.2411097892396,1097.9434106451333,1536.1845204343729,0.00017658308183624033,0.9518248587988544,0.3356235645542933,8.604000000000001e-05
1340,2017-05-26,19:00:00,26-May,0.0,0.0,1097.9229685060525,1097.9229685060525,0.00012620529553492184,0.9516846306767394,0.33409232279100254,0.00010116
1341,2017-05-26,20:00:00,26-May,0.0,0.0,1097.825914382222,1097.825914382222,0.00012619413924733859,0.9515444149504994,0.3316174187899019,0.00014868
1342,2017-05-26,21:00:00,26-May,0.0,0.0,1097.728863118101,1097.728863118101,0.00012618298328847646,0.9514042116197692,0.32945621789405594,0.00018036
1343,2017-05-26,22:00:00,26-May,0.0,0.0,1097.6318147137736,1097.6318147137736,0.00012617182765834513,0.9512640206841836,0.3283525714696535,0.00016416
1344,2017-05-26,23:00:00,26-May,0.02500000037252903,71.41258095163663,1097.5347691693244,1168.947350120961,0.00013436948676601656,0.95114249901667,0.32739589796377716,0.00014868
1345,2017-05-27,00:00:00,27-May,0.0,0.0,1097.4506425797,1097.4506425797,0.00012615100207824585,0.9510023312206181,0.32515351388652936,0.0001404
1346,2017-05-27,01:00:00,27-May,0.0,0.0,1097.3536023745862,1097.3536023745862,0.00012613984739060706,0.9508621758186634,0.3228894905633358,0.00012888
1347,2017-05-27,02:00:00,27-May,0.0,0.0,1097.2565650295921,1097.2565650295921,0.00012612869303173655,0.9507220328104407,0.321837430938558,0.00012528
1348,2017-05-27,03:00:00,27-May,0.0,0.0,1097.159530544802,1097.159530544802,0.00012611753900164402,0.9505819021955848,0.32095178965696597,0.00011844000000000001
1349,2017-05-27,04:00:00,27-May,0.0,0.0,1097.0624989203002,1097.0624989203002,0.00012610638530033912,0.9504417839737304,0.3200576267568014,0.00011448
1350,2017-05-27,05:00:00,27-May,0.0,0.0,1096.965470156171,1096.965470156171,0.0001260952319278316,0.950301678144512,0.3191612530313752,0.00011124
1351,2017-05-27,06:00:00,27-May,0.0,0.0,1096.8684442524989,1096.8684442524989,0.00012608407888413116,0.9501615847075646,0.3045581600666917,0.00010764
1352,2017-05-27,07:00:00,27-May,0.0,0.0,1096.771421209368,1096.771421209368,0.00012607292616924744,0.9500215036625226,0.284420516939089,0.00010764
1353,2017-05-27,08:00:00,27-May,0.0,0.0,1096.6744010268628,1096.6744010268628,0.00012606177378319018,0.9498814350090206,0.2765938228878166,0.00010439999999999999
