date,time,flow_cfs,flow_cms,flow_ms,flow_mh,Etp,avg_prec_mm,precip_m
5/11/2014,1:00:00 PM,1.1669,0.033042897,4.31E-08,1.55E-04,0.000125,0,0
5/11/2014,2:00:00 PM,1.1669,0.033042897,4.31E-08,1.55E-04,0.000125,0,0
5/11/2014,3:00:00 PM,1.1183,0.0316667,4.13E-08,1.49E-04,0.000125,0,0
5/11/2014,4:00:00 PM,1.1183,0.0316667,4.13E-08,1.49E-04,0.000125,0,0
5/11/2014,5:00:00 PM,1.1183,0.0316667,4.13E-08,1.49E-04,0.000125,0,0
5/11/2014,6:00:00 PM,1.1183,0.0316667,4.13E-08,1.49E-04,0.000125,0,0
5/11/2014,7:00:00 PM,1.1183,0.0316667,4.13E-08,1.49E-04,0.000125,0,0
5/11/2014,8:00:00 PM,1.1183,0.0316667,4.13E-08,1.49E-04,0.000125,0,0
5/11/2014,9:00:00 PM,1.0708,0.030321651,3.96E-08,1.43E-04,0.000125,0,0
5/11/2014,10:00:00 PM,1.0708,0.030321651,3.96E-08,1.43E-04,0.000125,0,0
5/11/2014,11:00:00 PM,1.0708,0.030321651,3.96E-08,1.43E-04,0.000125,0,0
5/12/2014,12:00:00 AM,1.0708,0.030321651,3.96E-08,1.43E-04,0.000125,0,0
5/12/2014,1:00:00 AM,0.9796,0.027739157,3.62E-08,1.30E-04,0.000125,0,0
5/12/2014,2:00:00 AM,0.9796,0.027739157,3.62E-08,1.30E-04,0.000125,0,0
5/12/2014,3:00:00 AM,0.9796,0.027739157,3.62E-08,1.30E-04,0.000125,0,0
5/12/2014,4:00:00 AM,0.9796,0.027739157,3.62E-08,1.30E-04,0.000125,0,0
5/12/2014,5:00:00 AM,0.9796,0.027739157,3.62E-08,1.30E-04,0.000125,0,0
