timestep,Precip_mm,Precip_m,hourly_discharge_cmd,hourly_discharge_cms
01/16/2007 17,0,0,471.41,0.005456134
01/16/2007 18,0,0,471.41,0.005456134
01/16/2007 19,0,0,449.85,0.005206597
01/16/2007 20,0,0,428.3,0.004957176
01/16/2007 21,0,0,406.74,0.004707639
01/16/2007 22,0,0,385.18,0.004458102
01/16/2007 23,0,0,363.62,0.004208565
01/17/2007 00,0,0,342.06,0.003959028
01/17/2007 01,0,0,338.47,0.003917477
01/17/2007 02,0,0,338.47,0.003917477
01/17/2007 03,0,0,338.47,0.003917477
01/17/2007 04,0,0,338.47,0.003917477
01/17/2007 05,0,0,338.47,0.003917477
01/17/2007 06,0,0,338.47,0.003917477
01/17/2007 07,0,0,338.47,0.003917477
01/17/2007 08,0,0,338.47,0.003917477
01/17/2007 09,0,0,338.47,0.003917477
01/17/2007 10,0,0,338.47,0.003917477
01/17/2007 11,0,0,338.47,0.003917477
01/17/2007 12,0,0,338.47,0.003917477
01/17/2007 13,0,0,338.47,0.003917477
01/17/2007 14,0,0,324.71,0.003758218
01/17/2007 15,0,0,308.2,0.00356713
01/17/2007 16,0,0,291.69,0.003376042
01/17/2007 17,0,0,275.18,0.003184954
01/17/2007 18,0,0,258.67,0.002993866
01/17/2007 19,0,0,242.15,0.002802662
01/17/2007 20,0,0,236.65,0.002739005
01/17/2007 21,0,0,236.65,0.002739005
01/17/2007 22,0,0,236.65,0.002739005
01/17/2007 23,0,0,236.65,0.002739005
01/18/2007 00,0,0,236.65,0.002739005
01/18/2007 01,0,0,236.65,0.002739005
01/18/2007 02,0,0,236.65,0.002739005
01/18/2007 03,0,0,236.65,0.002739005
01/18/2007 04,0,0,236.65,0.002739005
01/18/2007 05,0,0,236.65,0.002739005
01/18/2007 06,0,0,236.65,0.002739005
01/18/2007 07,0,0,236.65,0.002739005
01/18/2007 08,0,0,236.65,0.002739005
01/18/2007 09,0,0,236.65,0.002739005
01/18/2007 10,0,0,236.65,0.002739005
01/18/2007 11,0,0,236.65,0.002739005
01/18/2007 12,0,0,236.65,0.002739005
01/18/2007 13,0,0,236.65,0.002739005
01/18/2007 14,0,0,236.65,0.002739005
01/18/2007 15,0,0,236.65,0.002739005
01/18/2007 16,0,0,236.65,0.002739005
01/18/2007 17,0,0,236.65,0.002739005
01/18/2007 18,0,0,236.65,0.002739005
01/18/2007 19,0,0,236.65,0.002739005
01/18/2007 20,0,0,236.65,0.002739005
01/18/2007 21,0,0,236.65,0.002739005
01/18/2007 22,0,0,236.65,0.002739005
01/18/2007 23,0,0,236.65,0.002739005
01/19/2007 00,0,0,236.65,0.002739005
01/19/2007 01,0,0,236.65,0.002739005
01/19/2007 02,0,0,236.65,0.002739005
01/19/2007 03,0,0,236.65,0.002739005
01/19/2007 04,0,0,236.65,0.002739005
01/19/2007 05,0,0,236.65,0.002739005
01/19/2007 06,0,0,236.65,0.002739005
01/19/2007 07,0,0,236.65,0.002739005
01/19/2007 08,0,0,236.65,0.002739005
01/19/2007 09,0,0,236.65,0.002739005
01/19/2007 10,0,0,236.65,0.002739005
01/19/2007 11,0,0,236.65,0.002739005
01/19/2007 12,0,0,236.65,0.002739005
01/19/2007 13,0,0,236.65,0.002739005
01/19/2007 14,0,0,236.65,0.002739005
01/19/2007 15,0,0,236.65,0.002739005
01/19/2007 16,0,0,236.65,0.002739005
01/19/2007 17,0,0,236.65,0.002739005
01/19/2007 18,0,0,234.59,0.002715162
01/19/2007 19,0,0,234.59,0.002715162
01/19/2007 20,0,0,234.59,0.002715162
01/19/2007 21,0,0,224.28,0.002595833
01/19/2007 22,0,0,211.92,0.002452778
01/19/2007 23,0,0,199.55,0.002309606
01/20/2007 00,0,0,189.24,0.002190278
01/20/2007 01,0,0,176.88,0.002047222
01/20/2007 02,0,0,164.51,0.001904051
01/20/2007 03,0,0,160.39,0.001856366
01/20/2007 04,0.2,0.0002,160.39,0.001856366
01/20/2007 05,0,0,160.39,0.001856366
01/20/2007 06,0,0,160.39,0.001856366
01/20/2007 07,0,0,160.39,0.001856366
01/20/2007 08,0,0,160.39,0.001856366
01/20/2007 09,0,0,160.39,0.001856366
01/20/2007 10,0,0,160.39,0.001856366
01/20/2007 11,0,0,160.39,0.001856366
01/20/2007 12,0,0,160.39,0.001856366
01/20/2007 13,0,0,160.39,0.001856366
01/20/2007 14,0,0,160.39,0.001856366
01/20/2007 15,0,0,160.39,0.001856366
01/20/2007 16,0,0,160.39,0.001856366
01/20/2007 17,0,0,160.39,0.001856366
01/20/2007 18,0,0,160.39,0.001856366
01/20/2007 19,0,0,160.39,0.001856366
01/20/2007 20,0,0,157.44,0.001822222
01/20/2007 21,0,0,148.58,0.001719676
01/20/2007 22,0,0,139.73,0.001617245
01/20/2007 23,0,0,130.87,0.001514699
01/21/2007 00,0,0,122.01,0.001412153
01/21/2007 01,0,0,113.16,0.001309722
01/21/2007 02,0,0,105.78,0.001224306
01/21/2007 03,0,0,105.78,0.001224306
01/21/2007 04,0,0,105.78,0.001224306
01/21/2007 05,0,0,105.78,0.001224306
01/21/2007 06,0,0,105.78,0.001224306
01/21/2007 07,0,0,105.78,0.001224306
01/21/2007 08,0,0,105.78,0.001224306
01/21/2007 09,0,0,105.78,0.001224306
01/21/2007 10,0,0,105.78,0.001224306
01/21/2007 11,0,0,105.78,0.001224306
01/21/2007 12,0,0,105.78,0.001224306
01/21/2007 13,0,0,105.78,0.001224306
01/21/2007 14,0,0,105.78,0.001224306
01/21/2007 15,0,0,105.78,0.001224306
01/21/2007 16,0,0,105.78,0.001224306
01/21/2007 17,0,0,105.78,0.001224306
01/21/2007 18,0.2,0.0002,105.78,0.001224306
01/21/2007 19,0,0,105.78,0.001224306
01/21/2007 20,0.1,0.0001,105.78,0.001224306
01/21/2007 21,0.3,0.0003,111.68,0.001292593
01/21/2007 22,0.1,0.0001,120.54,0.001395139
01/21/2007 23,0,0,129.39,0.001497569
01/22/2007 00,0.1,0.0001,138.25,0.001600116
01/22/2007 01,0,0,147.1,0.001702546
01/22/2007 02,0,0,155.96,0.001805093
01/22/2007 03,0,0,160.39,0.001856366
01/22/2007 04,0,0,160.39,0.001856366
01/22/2007 05,0,0,160.39,0.001856366
01/22/2007 06,0,0,160.39,0.001856366
01/22/2007 07,0,0,160.39,0.001856366
01/22/2007 08,0.1,0.0001,160.39,0.001856366
01/22/2007 09,0.1,0.0001,160.39,0.001856366
01/22/2007 10,0.1,0.0001,160.39,0.001856366
01/22/2007 11,0,0,160.39,0.001856366
01/22/2007 12,0,0,160.39,0.001856366
01/22/2007 13,0,0,160.39,0.001856366
01/22/2007 14,0,0,160.39,0.001856366
01/22/2007 15,0,0,160.39,0.001856366
01/22/2007 16,0,0,160.39,0.001856366
01/22/2007 17,0,0,160.39,0.001856366
01/22/2007 18,0.3,0.0003,160.39,0.001856366
01/22/2007 19,0.1,0.0001,160.39,0.001856366
01/22/2007 20,0,0,160.39,0.001856366
01/22/2007 21,0,0,160.39,0.001856366
01/22/2007 22,0,0,160.39,0.001856366
01/22/2007 23,0,0,160.39,0.001856366
01/23/2007 00,0.1,0.0001,160.39,0.001856366
01/23/2007 01,0,0,160.39,0.001856366
01/23/2007 02,0,0,157.44,0.001822222
01/23/2007 03,0,0,148.58,0.001719676
01/23/2007 04,0,0,139.73,0.001617245
01/23/2007 05,0,0,130.87,0.001514699
01/23/2007 06,0,0,122.01,0.001412153
01/23/2007 07,0,0,113.16,0.001309722
01/23/2007 08,0,0,105.78,0.001224306
01/23/2007 09,0,0,105.78,0.001224306
01/23/2007 10,0,0,110.21,0.001275579
01/23/2007 11,0,0,111.68,0.001292593
01/23/2007 12,0,0,111.68,0.001292593
01/23/2007 13,0,0,111.68,0.001292593
01/23/2007 14,0,0,111.68,0.001292593
01/23/2007 15,0,0,111.68,0.001292593
01/23/2007 16,0,0,108.73,0.001258449
01/23/2007 17,0,0,105.78,0.001224306
01/23/2007 18,0,0,105.78,0.001224306
01/23/2007 19,0,0,105.78,0.001224306
01/23/2007 20,0,0,105.78,0.001224306
01/23/2007 21,0,0,105.78,0.001224306
01/23/2007 22,0,0,107.26,0.001241435
01/23/2007 23,0,0,108.73,0.001258449
